Running pytorch 2.2.0+cu121
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.1
wandb: Run data is saved locally in /workspace/arena/wandb/run-20240917_153448-l73c56fp
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run pleasant-oath-52
wandb: ⭐️ View project at https://wandb.ai/alexandretl/arena
wandb: 🚀 View run at https://wandb.ai/alexandretl/arena/runs/l73c56fp
DataLoader: total number of tokens: 10,255,324,043 across 103 files
DataLoader: total number of tokens: 100,000,000 across 1 files
Model initialized. Number of parameters : 123532032.
compiling the model...
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:140: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
val loss 10.96795654296875
step    1/16000 | train loss 10.979616 | lr 9.00e-06 | (57867.72 ms | 283 tok/s)
step    2/16000 | train loss 10.797085 | lr 1.80e-05 | (133.88 ms | 122381 tok/s)
step    3/16000 | train loss 10.530420 | lr 2.70e-05 | (134.43 ms | 121881 tok/s)
step    4/16000 | train loss 10.197183 | lr 3.60e-05 | (134.07 ms | 122203 tok/s)
step    5/16000 | train loss 9.992235 | lr 4.50e-05 | (134.32 ms | 121973 tok/s)
step    6/16000 | train loss 9.822398 | lr 5.40e-05 | (133.91 ms | 122347 tok/s)
step    7/16000 | train loss 9.672193 | lr 6.30e-05 | (134.27 ms | 122025 tok/s)
step    8/16000 | train loss 9.588058 | lr 7.20e-05 | (133.75 ms | 122493 tok/s)
step    9/16000 | train loss 9.550267 | lr 8.10e-05 | (134.07 ms | 122201 tok/s)
step   10/16000 | train loss 9.370085 | lr 9.00e-05 | (134.12 ms | 122156 tok/s)
step   11/16000 | train loss 9.180468 | lr 9.90e-05 | (134.43 ms | 121881 tok/s)
step   12/16000 | train loss 8.991951 | lr 1.08e-04 | (134.48 ms | 121830 tok/s)
step   13/16000 | train loss 9.240582 | lr 1.17e-04 | (134.15 ms | 122130 tok/s)
step   14/16000 | train loss 9.243201 | lr 1.26e-04 | (134.42 ms | 121886 tok/s)
step   15/16000 | train loss 9.195480 | lr 1.35e-04 | (134.58 ms | 121744 tok/s)
step   16/16000 | train loss 9.201432 | lr 1.44e-04 | (134.55 ms | 121767 tok/s)
step   17/16000 | train loss 9.194914 | lr 1.53e-04 | (134.27 ms | 122019 tok/s)
step   18/16000 | train loss 8.880690 | lr 1.62e-04 | (134.30 ms | 121997 tok/s)
step   19/16000 | train loss 8.738301 | lr 1.71e-04 | (134.46 ms | 121848 tok/s)
step   20/16000 | train loss 8.697582 | lr 1.80e-04 | (134.50 ms | 121818 tok/s)
step   21/16000 | train loss 8.537054 | lr 1.89e-04 | (134.86 ms | 121493 tok/s)
step   22/16000 | train loss 8.355413 | lr 1.98e-04 | (134.68 ms | 121651 tok/s)
step   23/16000 | train loss 8.246850 | lr 2.07e-04 | (134.55 ms | 121773 tok/s)
step   24/16000 | train loss 8.156716 | lr 2.16e-04 | (134.47 ms | 121839 tok/s)
step   25/16000 | train loss 8.062038 | lr 2.25e-04 | (134.42 ms | 121889 tok/s)
step   26/16000 | train loss 8.130541 | lr 2.34e-04 | (134.18 ms | 122106 tok/s)
step   27/16000 | train loss 8.112019 | lr 2.43e-04 | (134.71 ms | 121625 tok/s)
step   28/16000 | train loss 8.124218 | lr 2.52e-04 | (134.31 ms | 121991 tok/s)
step   29/16000 | train loss 7.782302 | lr 2.61e-04 | (134.36 ms | 121939 tok/s)
step   30/16000 | train loss 7.760022 | lr 2.70e-04 | (134.55 ms | 121764 tok/s)
step   31/16000 | train loss 7.533093 | lr 2.79e-04 | (133.84 ms | 122417 tok/s)
step   32/16000 | train loss 7.611018 | lr 2.88e-04 | (134.49 ms | 121825 tok/s)
